rowid,person,notes
1,Adam,Gen. 4-5
2,Eve,Gen. 4-5
3,Cain,Gen. 4
4,Abel,Gen. 4
5,Seth,Gen. 4-5
6,Enoch,Son of Cain (Gen. 4:17-18)
7,Irad,Gen. 4:18
8,Mehujael,Gen. 4:18
9,Methushael,Gen. 4:18
10,Lamech,Gen. 4:18-24
11,Adah,Gen. 4:20-23
12,Zillah,Gen. 4:20-23
13,Jabal,Gen. 4:20
14,Jubal,Gen. 4:21
15,Tubal-cain,Gen. 4:22
16,Naamah,Gen. 4:22
17,Enosh,Gen. 5:9-11
18,Kenan,Gen. 5:12-14
19,Mahalalel,Gen. 5:15-17
20,Jared,Gen. 5:18-20
21,Enoch,Son of Jared (Gen. 5:18-24)
22,Methuselah,Gen. 5:25-27
23,Lamech,Son of Methuselah (Gen. 5:25-31)
24,Noah,Gen. 5-10
25,Shem,Gen. 10:21-11:26
26,Ham,Gen. 10:6-20
27,Japheth,Gen. 10:2-5
28,Gomer,Gen. 10:2-3
29,Magog,Gen. 10:2
30,Madai,Gen. 10:2
31,Javan,"Gen. 10:2,4"
32,Tubal,Gen. 10:2
33,Meshech,Gen. 10:2
34,Tiras,Gen. 10:2
35,Ashkenaz,Gen. 10:3
36,Riphath,Gen. 10:3
37,Togarmah,Gen. 10:3
38,Elishah,Gen. 10:4
39,Tarshish,Gen. 10:4
40,Kittim,Gen. 10:4
41,Dodanim,Gen. 10:4
42,Cush,Gen. 10:6-12
43,Egypt,"Gen. 10:6,13"
44,Put,Gen. 10:6
45,Canaan,"Gen. 10:6,15-20"
46,Seba,Gen. 10:7
47,Havilah,Son of Cush (Gen. 10:7)
48,Sabtah,Gen. 10:7
49,Raamah,Gen. 10:7
50,Sabteca,Gen. 10:7
51,Nimrod,Gen. 10:8-12
52,Sheba,Son of Raamah (Gen. 10:7)
53,Dedan,Son of Raamah (Gen. 10:7)
54,Ludim,Gen. 10:13
55,Anamim,Gen. 10:13
56,Lehabim,Gen. 10:13
57,Naphtuhim,Gen. 10:13
58,Pathrusim,Gen. 10:14
59,Casluhim,Gen. 10:14
60,Caphtorim,Gen. 10:14
61,Sidon,Gen. 10:15
62,Heth,Gen. 10:15
63,the Jebusites,Gen. 10:16
64,the Amorites,Gen. 10:16
65,the Girgashites,Gen. 10:16
66,the Hivites,Gen. 10:17
67,the Arkites,Gen. 10:17
68,the Sinites,Gen. 10:17
69,the Arvadites,Gen. 10:18
70,the Zemarites,Gen. 10:18
71,the Hamathites,Gen. 10:18
72,Elam,Gen. 10:22
73,Asshur,Gen. 10:22
74,Arpachshad,"Gen. 10:22,24"
75,Lud,Gen. 10:22
76,Aram,Gen. 10:22-23
77,Uz,Gen. 10:23
